round,score,coins,crates,bombs,suicides,survived,invalid,steps,td_abs,w_norm,max_abs_q
25,0.0,0.0,0.52,0.28,0.2,0.8,0.0,356.2,0.005480662272388038,0.4783737105402712,0.50203604843394
50,0.0,0.0,0.28,0.2,0.0,1.0,0.0,400.0,0.0006104959799245818,0.4779730356131558,0.4278531819686181
75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,4.473626393639168e-05,0.47798085398718765,0.4272402557793444
100,0.0,0.0,0.16,0.08,0.04,0.96,0.0,398.4,0.000683322346307479,0.4774817503544526,0.4765173514331503
125,0.0,0.0,0.04,0.04,0.0,1.0,0.0,400.0,0.00025853329413660356,0.4771942762484929,0.42652577388465357
150,0.0,0.0,0.08,0.04,0.0,1.0,0.0,400.0,0.00030939721984008173,0.4770747747490792,0.42491494641115435
175,0.0,0.0,0.04,0.04,0.0,1.0,0.0,400.0,0.0002615050704687545,0.477075558609724,0.42499848041121213
200,0.0,0.0,0.08,0.08,0.0,1.0,0.0,400.0,0.00037873782589219884,0.47710246038905835,0.4232762502643245
225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,0.00036367347713469976,0.47705306589547575,0.4230366106035859
250,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,0.0004667604607726907,0.4769514269504203,0.42169933391212744
275,0.0,0.0,0.08,0.04,0.0,1.0,0.0,400.0,0.001406691362490276,0.476526301737453,0.4253577078958043
300,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,0.0016511720890127286,0.4761785973317229,0.41048367901314975
325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,8.643564772606036e-05,0.476145688860041,0.4014887917623907
350,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1.3829227032951696e-06,0.4761438023123418,0.4000691096147158
375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,8.554137940331685e-06,0.47613804217507416,0.4055584098057854
400,0.04,0.04,0.08,0.04,0.0,1.0,0.0,400.0,0.0003421991107893735,0.473175475300353,0.423152353174589
425,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,0.0001978078604837122,0.4726778238326903,0.4055396307457727
450,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,5.143585193406219e-06,0.47267584945077784,0.40009530888249645
475,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,3.122264684961296e-07,0.47267585442267873,0.4000315962557991
500,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,3.582301700998825e-07,0.47267630676508476,0.4000308377294306
525,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,3.897183629812728e-07,0.47267519151915033,0.40003121519266566
550,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,2.575327644778313e-05,0.4726770463434888,0.40578181746108566
575,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1.1066628598966233e-06,0.4726768361950613,0.40008317352700673
600,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,4.0270425124377395e-07,0.4726775400815744,0.40003194136938647
625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,9.243362537641864e-06,0.4726769940506627,0.4057584804962029
650,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1.2592557700998126e-05,0.4726764933306885,0.4060208016806397
675,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1.5745672464219263e-06,0.4726777818597589,0.4001580744718525
700,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1.356612779231915e-05,0.4726789004197509,0.4059534867687743
725,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1.2911153876986915e-05,0.472679076169129,0.40620424464026356
750,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,4.6472571802751437e-07,0.4726790210914882,0.4000340959437452
775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1.046511751428902e-05,0.47267939485478816,0.40586880321013624
800,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,2.9001292274560076e-05,0.47268662863881017,0.4061835566209848
825,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,8.371405778761182e-06,0.4726810718700944,0.4060225495904737
850,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,2.4626039527891165e-06,0.47268003207200393,0.4060474099070378
875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1.2189892480884756e-06,0.4727163088063181,0.40027583492665464
900,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1.5874629818529718e-06,0.472679912084519,0.4002842273233198
925,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,7.980623040098666e-07,0.47268021962486445,0.40007575541429047
950,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,8.236350369670076e-07,0.472679327556904,0.40007331273585234
975,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,1.2415356702332241e-05,0.4726792258877118,0.40617860978487363
1000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,7.90990863934754e-07,0.47268021535974336,0.40003291841512156
1025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,7.970194473907316e-06,0.47269085473121136,0.40637420248366685
