round,score,coins,crates,bombs,suicides,survived,invalid,steps,td_abs,w_norm,max_abs_q
25,0.0,0.0,0.96,0.44,0.24,0.76,0.0,329.76,0.011946857388796231,0.47903481532544095,0.5
50,0.0,0.0,0.92,0.32,0.0,1.0,0.0,400.0,0.0029043619202332753,0.4730302378855776,0.44251234618128166
75,0.12,0.12,1.36,0.68,0.0,1.0,0.0,400.0,0.001771243573382935,0.4667625892954731,0.43151559774007997
100,1.0,1.0,23.84,17.72,0.16,0.84,0.0,350.52,0.03313272409638506,0.46765251452357787,0.5512917409768476
125,2.48,2.48,38.4,30.0,0.48,0.52,0.0,210.4,0.06546742869894102,0.48641451621379955,0.6897118530925481
150,5.04,5.04,70.24,52.52,0.08,0.92,0.0,368.4,0.039962322035453794,0.47503104609449404,0.6536912443537972
175,5.64,5.64,82.44,55.88,0.04,0.96,0.0,392.08,0.032116578631243384,0.4731301528609142,0.5047492660388435
200,5.84,5.84,81.68,57.16,0.0,1.0,0.0,400.0,0.02757708793213765,0.4705950601143975,0.38101027110997066
225,5.4,5.4,79.84,57.04,0.0,1.0,0.0,400.0,0.02503259128401379,0.4688613957761589,0.37416784495605443
250,5.72,5.72,83.68,57.12,0.0,1.0,0.0,400.0,0.02526374424142689,0.47285800126626154,0.3733141894767409
275,5.32,5.32,82.04,56.8,0.04,0.96,0.0,398.52,0.02560201698160005,0.4769580317758318,0.49084014828544154
300,4.96,4.96,75.64,53.24,0.08,0.92,0.0,373.56,0.02617105369399945,0.4836447181938337,0.4729646046288113
325,5.68,5.68,77.12,56.12,0.04,0.96,0.0,393.52,0.02683656054313722,0.476851093531431,0.4710333084937826
350,6.04,6.04,83.96,56.52,0.0,1.0,0.0,400.0,0.026900380636475516,0.47486751415780043,0.3384978645763159
375,6.28,6.28,88.84,55.88,0.0,1.0,0.0,400.0,0.026123785875619723,0.4671789119433918,0.3198523139186766
400,6.36,6.36,85.04,52.28,0.04,0.96,0.0,385.24,0.024110105514186554,0.459851170963634,0.4573466338905921
425,5.28,5.28,75.96,50.84,0.08,0.92,0.0,371.64,0.025448490606834222,0.4692650887739017,0.531590099281301
450,6.12,6.12,89.64,54.44,0.0,1.0,0.0,400.0,0.0250514985979637,0.4609983413087612,0.3160715624201912
475,5.96,5.96,83.8,54.0,0.0,1.0,0.0,400.0,0.025052676441407955,0.4627887590915077,0.294692876377479
500,5.24,5.24,80.12,50.64,0.08,0.92,0.0,385.36,0.025875952046600884,0.46709067710560814,0.5209331591839733
525,5.56,5.56,74.6,54.28,0.0,1.0,0.0,400.0,0.025248086806478488,0.4675755805484042,0.3143454454402258
550,6.24,6.24,86.68,52.16,0.0,1.0,0.0,400.0,0.024965531043935323,0.46772595207271034,0.30301697437093655
575,6.8,6.8,94.4,50.16,0.04,0.96,0.0,395.52,0.02682476451012569,0.46959610171620775,0.49082743149722086
600,7.08,7.08,91.52,51.92,0.04,0.96,0.0,396.28,0.02564951958104323,0.46999499938989914,0.5388747709810653
625,5.96,5.96,81.24,53.4,0.0,1.0,0.0,400.0,0.02472724040557294,0.47249859624817736,0.30767778618017666
650,6.64,6.64,92.16,49.84,0.04,0.96,0.0,384.2,0.027538162594884022,0.4721860836310895,0.4259687309000021
675,6.32,6.32,86.92,52.2,0.0,1.0,0.0,400.0,0.024948242613469417,0.4784179948751468,0.31980729005244635
700,6.64,6.64,92.0,51.96,0.0,1.0,0.0,400.0,0.02514346104512307,0.4759717379880226,0.3263658546396938
725,6.56,6.56,91.76,48.2,0.08,0.92,0.0,381.08,0.02455764339231527,0.47749078681617824,0.5808101514190072
750,7.0,7.0,99.04,47.36,0.04,0.96,0.0,389.0,0.024983676697741982,0.48058251323468054,0.5577124980487245
775,6.4,6.4,93.88,50.64,0.0,1.0,0.0,400.0,0.024722454149296143,0.4820539919955251,0.30828625688082545
800,6.48,6.48,89.28,53.08,0.04,0.96,0.0,399.68,0.02604435759041666,0.4854332724011396,0.5215743116379543
