round,score,coins,crates,bombs,suicides,survived,invalid,steps,td_abs,w_norm,max_abs_q
25,0.0,0.0,0.8,0.4,0.32,0.68,0.0,298.4,0.01617036988296445,0.4792237870346906,0.5082632530447749
50,0.08,0.08,0.32,0.24,0.04,0.96,0.0,398.08,0.004838461655818775,0.47304815199157063,0.4699592696443721
75,0.0,0.0,0.4,0.28,0.12,0.88,0.0,373.88,0.0024385019742257197,0.47264816921975045,0.4634374706623451
100,0.0,0.0,0.08,0.08,0.0,1.0,0.0,400.0,0.0003653962340631206,0.47234263889732114,0.449867427317983
125,0.0,0.0,0.24,0.04,0.0,1.0,0.0,400.0,0.00023603188570521345,0.4724131845559755,0.449097598782356
150,0.0,0.0,0.76,0.24,0.04,0.96,0.0,389.68,0.0008460048264095365,0.4730571910201027,0.4591809000803031
175,0.04,0.04,0.64,0.2,0.04,0.96,0.0,398.28,0.0009361259797657894,0.47478337378510216,0.4881059551185134
200,0.04,0.04,0.64,0.36,0.04,0.96,0.0,394.56,0.0014474659416505336,0.4711647202445214,0.4824949649101289
225,0.08,0.08,0.48,0.28,0.0,1.0,0.0,400.0,0.001313485504687587,0.46545722539455203,0.4601862951607166
250,0.04,0.04,0.48,0.28,0.0,1.0,0.0,400.0,0.0010842337859927817,0.462162632840065,0.4565225603832713
275,0.08,0.08,0.8,0.32,0.0,1.0,0.0,400.0,0.0016965890727765477,0.4665945803196812,0.47882050003696724
300,0.08,0.08,2.76,1.04,0.0,1.0,0.0,400.0,0.0028004939366950018,0.44539197898297944,0.5344774648891011
325,2.16,2.16,38.16,22.28,0.0,1.0,0.0,400.0,0.03129021838069112,0.4489659760049515,0.4637578926314963
350,4.36,4.36,61.16,38.72,0.32,0.68,0.0,273.68,0.05197310276875224,0.466450755907471,0.5082865756018117
375,4.88,4.88,73.92,52.4,0.08,0.92,0.0,368.4,0.03753402644819383,0.4609777723674545,0.5285848224184255
400,5.48,5.48,81.12,56.8,0.0,1.0,0.0,400.0,0.02912782533441494,0.4639908301492904,0.36803706265065567
425,6.08,6.08,81.08,56.96,0.0,1.0,0.0,400.0,0.026411275032704174,0.46482921307084063,0.367846060656721
450,6.44,6.44,90.88,56.4,0.0,1.0,0.0,400.0,0.026533457997785552,0.46205483847907186,0.3402921447619543
475,7.04,7.04,95.56,55.28,0.0,1.0,0.0,400.0,0.02673860638735236,0.45481790033386277,0.31896097705213844
500,5.8,5.8,83.52,48.44,0.16,0.84,0.0,356.24,0.024841867845865215,0.45552414620267967,0.522340883578777
525,5.24,5.24,71.28,54.84,0.0,1.0,0.0,400.0,0.023391101252098964,0.45732587041474176,0.31638902789069995
550,5.72,5.72,84.16,54.52,0.0,1.0,0.0,400.0,0.02619817452544666,0.4519220586275642,0.3024732009851656
575,6.44,6.44,89.44,52.8,0.0,1.0,0.0,400.0,0.026560183927825227,0.45420227079575465,0.29229415642410284
600,6.08,6.08,85.8,51.08,0.0,1.0,0.0,400.0,0.026384081528754894,0.45598287297033396,0.31513593746294644
625,5.84,5.84,84.4,54.24,0.0,1.0,0.0,400.0,0.026821975376126222,0.45456789665070957,0.3002582453191404
650,6.84,6.84,94.48,47.0,0.04,0.96,0.0,391.68,0.02791002721532285,0.45993936053645285,0.4209362337292685
675,6.44,6.44,83.32,54.64,0.0,1.0,0.0,400.0,0.02772476637539655,0.45839160710464144,0.2993892575028428
700,7.28,7.28,96.04,47.12,0.04,0.96,0.0,388.56,0.02649919407017214,0.4591571252186638,0.443352282335447
725,5.76,5.76,80.64,53.76,0.04,0.96,0.0,396.24,0.02669729402720726,0.4662416583868136,0.5350025431235432
750,5.68,5.68,84.36,53.84,0.0,1.0,0.0,400.0,0.02482793341721524,0.4630670526059262,0.29974108891636403
775,6.64,6.64,88.2,52.56,0.0,1.0,0.0,400.0,0.02602678714754378,0.4638398753012415,0.29799429224891005
800,6.72,6.72,93.16,49.2,0.04,0.96,0.0,388.6,0.02650252976650516,0.4645423267172348,0.5051866587579639
